item_id,produto_ml,marca_ml,sku_ml,receita,pedidos,candidato_seconds_id,candidato_seconds_produto,candidato_seconds_sku,candidato_seconds_marca,candidato_cmv_unitario,score_similaridade,metodo_match,status_match_inteligente,padrao_erro,motivo_original
MLB6505840046,Reservatório De Água 206 207 1.4 1.6 16v Com Tampa,N/D,N/D,1179.39,12,MLB4665336687,Reservatorio Agua Com Tampa Cruze 2012 2013 2014 2015 2016,GPR042,Greenparts,4999.5,79.31,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB5752064294,Engate Reboque Fixo Captiva 2008 A 2015,N/D,N/D,1175.24,2,MLB5365965814,Engate Fixo Captiva 2008 A 2015,GM3035,Brucke,324.8,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB4480143025,Kit Valvula Admissao E Escape Clio Sandero Logan 1.0 16v D4d,N/D,N/D,1165.95,3,MLB6207603732,"Válvula Admissão Sandero, Logan 1.6 8v",VADRE16,Takao,58.48,95.24,produto,MATCH_AUTOMATICO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB4381396847,Jogo Pistao Com Aneis Palio 1.0 8v Fiasa 1996 A 2001 Takao Std,N/D,N/D,1093.88,2,MLB4381459705,"Jogo Pistao Com Aneis Palio 1.0 8v Fiasa 1996 A 2001 Takao 0,60mm",PFI10A/060 - ASFI10/060,Takao,271.9,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB4604567493,Junta Superior Cabeçote Apolo Gol Logus Mi Ap 1.6 1.8,N/D,N/D,1014.55,10,MLB4604543327,Junta Superior Cabeçote Gol Saveiro Ap 1.6 1.8 85/94,111247PK,Bastos Juntas,43.3,81.08,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB5771134578,Junta Comp C/ Retentores (jg) Tiggo 7 1.5 16v 2017 A 2020,N/D,N/D,1006.75,1,MLB4203238835,Pastilha Freio Tiggo 8 1.6 16v 2021 2022 2023 2024,OCTA0716,OriginALLparts,99.75,75.0,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB4404893661,Jogo Junta Cabeçote Sentra Tiida Versa Fluence 1.8 2.0 06/19,N/D,N/D,998.77,4,MLB5298307156,Jogo Aneis Motor Std Sentra Tiida Fluence 1.8 2.0 16v 07/21,ASD18/STD,Takao,100.87,74.29,produto,MATCH_DUVIDOSO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB4209329255,Pastilha Freio Sprinter 416 Cdi 2.2 16v 2019 Em Diante,N/D,N/D,994.18,4,MLB4209458891,Pastilha Freio Sprinter 415 Cdi 2.2 16v 2012 A 2019,OCDA2049,OriginALLparts,131.76,87.27,produto,MATCH_PROVAVEL,sku_ausente_ml,SEM_MATCH_SECONDS
MLB4573497959,"Jogo Pistao 0,50 Onix Novo 1.0 8v 2017 A 2022",N/D,N/D,953.17,2,MLB6203655576,Jogo Pistao Std Onix Novo 1.0 8v 2012 A 2016,PGM10H/STD,Takao,282.63,83.33,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB5751965116,Engate Reboque Removível Veloster 2012 A 2018,N/D,N/D,907.33,1,MLB5751990948,Engate Reboque Removível Vogue 2013 A 2018,LR1002,Brucke,444.8,89.16,produto,MATCH_PROVAVEL,sku_ausente_ml,SEM_MATCH_SECONDS
