item_id,sku,produto,marca,categoria,motivo_sem_cmv,receita_total,pedidos,unidades
MLB5771134578,N/D,Junta Comp C/ Retentores (jg) Tiggo 7 1.5 16v 2017 A 2020,N/D,N/D,SEM_MATCH_SECONDS,1006.75,1,1.0
MLB4404893661,N/D,Jogo Junta Cabeçote Sentra Tiida Versa Fluence 1.8 2.0 06/19,N/D,N/D,SEM_MATCH_SECONDS,998.77,4,5.0
MLB4604058035,131547PK30,Junta Cabeçote Sob Medida Ford Ecosport 1.6 8v Zetec Rocam,Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,994.95,12,12.0
MLB4209329255,N/D,Pastilha Freio Sprinter 416 Cdi 2.2 16v 2019 Em Diante,N/D,N/D,SEM_MATCH_SECONDS,994.1800000000001,4,4.0
MLB4573497959,N/D,"Jogo Pistao 0,50 Onix Novo 1.0 8v 2017 A 2022",N/D,N/D,SEM_MATCH_SECONDS,953.1700000000001,2,2.0
MLB5751965116,N/D,Engate Reboque Removível Veloster 2012 A 2018,N/D,N/D,SEM_MATCH_SECONDS,907.33,1,1.0
MLB4249774981,N/D,Par Tambor Freio Traseiro Renault Duster 4x2 2.0 16v 2013,N/D,N/D,SEM_MATCH_SECONDS,905.19,3,3.0
MLB5420585658,N/D,Par Disco Freio Dianteiro Peugeot 106/206/207/306 Xsara 8v,MDS,Disco de Freios,SEM_MATCH_SECONDS,874.4499999999999,4,4.0
MLB4445866853,33-5111,Filtro Ar K&n 33-5111 Mini Cooper Jcw Countryman 2.0 / 2020,K&N,Filtros de Ar,PARAMETRO_NAO_CONFIAVEL,870.21,1,1.0
MLB6143572624,N/D,Par Disco De Freio Dianteiro L200 Triton 3.2 2008 Em Diante,N/D,N/D,SEM_MATCH_SECONDS,863.59,2,2.0
MLB5016446608,N/D,Junta Carter Borracha  Celta Corsa 1.0 1.6 8v Mpfi Efi,N/D,N/D,SEM_MATCH_SECONDS,850.54,20,20.0
MLB6153696204,N/D,Engate Reboque Outlander 2025 2026 700kg Removível Completo,N/D,N/D,SEM_MATCH_SECONDS,825.84,1,1.0
MLB5420752296,N/D,Par Tambor Freio Montana 1.4 1.8 2004 05 06 07 08 09 10 Mds,MDS,Tambor,SEM_MATCH_SECONDS,802.92,3,3.0
MLB5376155402,Ad1007,Engate Rabicho Reboque Removivel 700kg Audi Q3 2020 A 2024 Preto,Brucke,CARGA MANUAL SP_Profit_Large,PARAMETRO_NAO_CONFIAVEL,795.47,1,1.0
MLB4196605661,N/D,Engate Reboque Removível Audi A5 2011 Até 2017 700kg,N/D,N/D,SEM_MATCH_SECONDS,766.14,1,1.0
MLB4597608581,T-607,Polia Virabrequim Corsa Celta 94 Em Diante,Triade,Polia de Virabrequim,PARAMETRO_NAO_CONFIAVEL,763.22,2,2.0
MLB4665291183,GPSFO021,Trocador De Calor Dodge Journey Cherokee 3.6 V6 Aluminio,Greenparts,Radiadores de Óleo,PARAMETRO_NAO_CONFIAVEL,755.21,1,1.0
MLB6263914136,VADCY13 - VESCY13,Kit Válvulas Escape + Admissão Takao Chery Face 1.3 16v Gas,Takao,Válvulas,PARAMETRO_NAO_CONFIAVEL,750.11,1,1.0
MLB4229902627,N/D,Engate Reboque Fixo Master 2014 A 2015,N/D,N/D,SEM_MATCH_SECONDS,721.61,1,1.0
MLB4419938395,N/D,Pastilha De Freio Brembo Dianteira Up Tsi 1.0t 105hp P85041,N/D,N/D,SEM_MATCH_SECONDS,720.96,2,2.0
MLB6263889872,N/D,Kit Valvula Admissao E Escape Gol G4 G5 G6 Fox 1.6 8v Ea111,N/D,N/D,SEM_MATCH_SECONDS,711.4,2,3.0
MLB4604036071,141233PK,Junta Superior Cabeçote Palio Siena Brava 1.6 16v 95/00,Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,704.34,6,6.0
MLB4228800975,N/D,Engate Reboque Removível Ducato Boxer Jumper 2019 A 2024,N/D,N/D,SEM_MATCH_SECONDS,656.41,1,1.0
MLB5016360610,111953CBL,Junta Carter Cortiça Fox Gol Voyage Parati 1.0 8/16v Ea111,Bastos Juntas,Juntas,SEM_MATCH_SECONDS,651.53,18,18.0
MLB4045987807,VW5004,Engate Fixo Saveiro G5 G6 G7 G8 G9,Brucke,Engate,PARAMETRO_NAO_CONFIAVEL,633.38,1,1.0
MLB6171623388,N/D,Jogo Anéis Motor Stander Parati Gol Saveiro Ap 1.6 1.8 8v,N/D,N/D,SEM_MATCH_SECONDS,626.09,4,4.0
