campaign_id,campaign_name,impressions,clicks,cost,cpc,ctr,revenue,orders,units,acos,roas,conversion_rate,date_from,date_to,periodo_inicio,periodo_fim,data_ref
357207283,Campanha Mann,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
355810176,Campanha ISAPA,21832,41,65.64,1.6,0.19,299.26,,2,21.93,4.56,4.88,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
353128923,Campanha Eibach,5381,11,12.3,1.12,0.2,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
355704938,Campanha Ecoflex,61528,45,14.11,0.31,0.07,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
353332506,Campanha MDS FREIOS,10506,16,4.88,0.31,0.15,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
353870011,Campanha PERFECT,247,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
355891771,Campanha Starke,4662,7,7.56,1.08,0.15,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
357695479,Campanha Bastos Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
355311755,Campanha Yiming,8498,8,8.21,1.03,0.09,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
355395249,Campanha Indisa,26211,62,41.23,0.66,0.24,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
355714163,Campanha FW,4408,9,19.92,2.21,0.2,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
356119342,Campanha Green Parts,14021,37,18.63,0.5,0.26,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
356637677,Campanha Multiqualita,106,1,1.25,1.25,0.94,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
353342072,Campanha OriginALLparts,27171,61,36.29,0.59,0.22,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
356393911,Campanha Triade,16851,22,30.46,1.38,0.13,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
352813615,Campanha Bastos,63588,254,48.4,0.19,0.4,1014.34,,16,4.77,20.96,6.3,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
353749496,Campanha Igasa Carter,1172,1,0.05,0.05,0.09,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
352823015,Campanha Brucke,20451,28,4.69,0.17,0.14,974.96,,2,0.48,207.88,7.14,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
352823053,Campanha FQ4,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
357735719,Campanha ISAPA Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
352827226,Campanha Takao,51517,110,37.54,0.34,0.21,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
356931219,Campanha Distribuidores Nacio,13,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
355261248,Campanha Takao Curva A,40712,96,77.34,0.81,0.24,662.99,,3,11.67,8.57,3.13,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
357712860,Campanha Originall Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
357728122,Campanha Green Parts Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
356894911,Campanha Produtos Parados,98,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
357207283,Campanha Mann,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
355810176,Campanha ISAPA,18564,48,69.26,1.44,0.26,163.14,,1,42.45,2.36,2.08,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
353128923,Campanha Eibach,4812,3,1.6,0.53,0.06,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
355704938,Campanha Ecoflex,41503,43,10.17,0.24,0.1,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
353332506,Campanha MDS FREIOS,8406,20,5.97,0.3,0.24,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
353870011,Campanha PERFECT,169,2,0.22,0.11,1.18,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
355891771,Campanha Starke,4146,5,4.61,0.92,0.12,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
357695479,Campanha Bastos Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
355311755,Campanha Yiming,6221,9,5.22,0.58,0.14,0.0,,0,0.0,0.0,0.0,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00,2026-05-03 00:00:00-03:00
